BATTING RECORDS,,,
,,,
Top Ten Runs,,,
Rank,Runs,Name,Year
Top Ten Innings Pitched,,,
Rank,Innings Pitched,Name,Year
1,249,Eric Krause,2005-07
2,239.2,Ryan O'Coyne,1989-91
3,212.2,Brenden Lewis,2022-25
4,200.1,Mike Raskind,1986-88
5,183.4,Noa Ponciano,2018-21
6,182.2,Donald Anderson,2003-05
7,172.2,Tom Fordham,1990-92
8,154.3,Chandler Henry,2021-24
9,153,Derek Ayres,1995-98
10,152.1,Mike Wilson,1995-98
,,,
Top Ten Strikeouts,,,
Rank,Strikeouts,Name,Year
1,290,Eric Krause,2005-07
2,286,Ryan O'Coyne,1989-91
3,236,Brenden Lewis,2022-25
4,212,Mike Raskind,1986-88
5,212,Tom Fordham,1990-92
6,176,Noa Ponciano,2018-21
7,172,Mike Wilson,1995-98
8,170,Austin Smith,2018-21
9,152,Matt Seiler,1992-94
10,149,Chandler Henry,2021-24
,,,
Top Ten ERA,,,
Rank,ERA,Name,Year
1,1.61,Eric Krause,2005-07
2,1.67,Trenton Brooks,2010-13
3,1.69,Brenden Lewis,2022-25
4,1.69,Bill Demo,1977
5,1.71,Andrew Brown,2015-16
6,1.71,Sean Walker,2010-13
7,1.74,Dillan Shrum,2015-16
8,1.93,Scott Adams,1980-81
9,1.98,Chris Dunwell,1997-98
10,2.05,Luke Bailey,2024-25
